game_id,move_number,increment_sec,time_left_sec,time_spent_sec,time_left_ratio,eval_volatility,pieces_remaining,material_density,num_minor_pieces,num_rooks,num_queens,num_pawns,complexity_material_score,white_castled_king,white_castled_queen,black_castled_king,black_castled_queen,queen_present,is_opening,is_middlegame,is_endgame,is_pawn_move,is_knight_move,is_bishop_move,is_rook_move,is_queen_move,is_king_move,avg_time_spent_per_move,time_spent_ratio,is_mate_threat,is_checkmate,is_inaccuracy,is_mistake,is_blunder,eval_unified,complexity_material_norm,eval_volatility_norm,time_left_ratio_clipped,time_pressure_norm,material_time_pressure_int,time_eval_volatility_int,move_number_norm,late_endgame_int,cumulative_time_pressure,color_white
04ELJhAC,27,10,67.63,67.63,0.11271666666666666,24.390344173235622,19,0.59375,4,2,1,10,41,1,0,1,0,1,0,1,0,0,0,0,1,0,0,19.46169491525424,1.0,0,0,0,0,0,269.0,0.5256410256410257,0.08161612525565279,0.11271666666666666,0.8872833333333333,0.46639252136752135,0.07241662767058646,0.4406779661016949,0.0,1.362489710500579,0
04ELJhAC,28,10,57.95,19.68,0.09658333333333334,33.62869145371091,19,0.59375,4,2,1,10,41,1,0,1,0,1,0,1,0,0,0,0,0,1,0,19.46169491525424,1.0112171671427574,0,0,0,0,0,292.0,0.5256410256410257,0.1125299206266045,0.09658333333333334,0.9034166666666666,0.47487286324786326,0.10166140579275161,0.4576271186440678,0.0,1.3499442625235143,0
04ELJhAC,29,10,53.47,14.48,0.08911666666666666,17.568911937472585,19,0.59375,4,2,1,10,41,1,0,1,0,1,0,1,0,0,0,0,0,1,0,19.46169491525424,0.7440256392391834,0,0,0,0,0,249.0,0.5256410256410257,0.05878992551764693,0.08911666666666666,0.9108833333333334,0.47879764957264964,0.053550763321932635,0.4745762711864407,0.0,1.32905051689302,0
04ELJhAC,30,10,25.07,25.07,0.04178333333333333,34.296096311711956,19,0.59375,4,2,1,10,41,1,0,1,0,1,0,1,0,0,0,1,0,0,0,19.46169491525424,1.0,0,0,0,0,0,333.0,0.5256410256410257,0.11476322238323233,0.04178333333333333,0.9582166666666667,0.5036779914529915,0.10996803240798628,0.4915254237288136,0.0,1.3180821663299194,0
04ELJhAC,31,10,35.07,0.0,0.05845,38.689648342791756,17,0.53125,3,2,0,10,29,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,0.0,0,0,0,0,0,329.0,0.3717948717948718,0.12946513435048224,0.05845,0.94155,0.3500634615384616,0.12189789724769655,0.5084745762711864,0.5084745762711864,1.2755633867708898,0
04ELJhAC,32,10,13.39,13.39,0.02231666666666667,401.16857083054526,17,0.53125,3,2,0,10,29,1,0,1,0,0,0,0,1,1,0,0,0,0,0,19.46169491525424,1.0,0,0,0,0,1,1182.0,0.3717948717948718,1.0,0.02231666666666667,0.9776833333333333,0.3634976495726496,0.9776833333333333,0.5254237288135594,0.5254237288135594,1.2669520309342994,0
04ELJhAC,33,10,19.95,3.4400000000000004,0.03325,351.9037115777869,17,0.53125,3,2,0,10,29,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.1767574723054414,0,0,0,0,0,863.0,0.3717948717948718,1.0,0.03325,0.96675,0.3594326923076923,0.96675,0.5423728813559322,0.5423728813559322,1.2339158321879704,0
04ELJhAC,34,10,14.11,14.11,0.023516666666666665,2191.425766228208,16,0.5,2,2,0,10,26,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,1.0,0,0,0,0,1,5663.0,0.3333333333333333,1.0,0.023516666666666665,0.9764833333333334,0.3254944444444444,0.9764833333333334,0.559322033898305,0.559322033898305,1.227035954770677,0
04ELJhAC,35,10,22.91,1.1999999999999993,0.03818333333333333,2237.947919163645,16,0.5,2,2,0,10,26,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.06165958336236323,0,0,0,0,0,5556.0,0.3333333333333333,1.0,0.03818333333333333,0.9618166666666667,0.32060555555555553,0.9618166666666667,0.576271186440678,0.576271186440678,1.1937394870161537,0
04ELJhAC,36,10,25.63,7.279999999999999,0.04271666666666667,1548.944228247816,16,0.5,2,2,0,10,26,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.3740681390650038,0,0,0,0,0,2325.0,0.3333333333333333,1.0,0.04271666666666667,0.9572833333333334,0.31909444444444446,0.9572833333333334,0.5932203389830508,0.5932203389830508,1.1709708384619553,0
04ELJhAC,37,10,23.31,12.32,0.038849999999999996,2007.2319801712563,16,0.5,2,2,0,10,26,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.6330383891869296,0,0,0,0,0,731.0,0.3333333333333333,1.0,0.038849999999999996,0.96115,0.3203833333333333,0.96115,0.6101694915254238,0.6101694915254238,1.1564321236166841,0
04ELJhAC,38,10,24.43,8.879999999999999,0.040716666666666665,751.4188061409044,16,0.5,2,2,0,10,26,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.45628091688148814,0,0,0,0,0,731.0,0.3333333333333333,1.0,0.040716666666666665,0.9592833333333334,0.3197611111111111,0.9592833333333334,0.6271186440677966,0.6271186440677966,1.138007091860495,0
04ELJhAC,39,10,26.83,7.6,0.04471666666666666,551.5432893255071,14,0.4375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,0.3905106946283007,0,0,0,0,1,1901.0,0.2948717948717949,1.0,0.04471666666666666,0.9552833333333334,0.28168611111111114,0.9552833333333334,0.6440677966101694,0.6440677966101694,1.11884051757249,0
04ELJhAC,40,10,19.15,17.68,0.03191666666666666,2059.1625050544753,14,0.4375,1,2,0,10,23,1,0,1,0,0,0,0,1,1,0,0,0,0,0,19.46169491525424,0.9084511948721521,0,0,0,0,1,5565.0,0.2948717948717949,1.0,0.03191666666666666,0.9680833333333333,0.2854604700854701,0.9680833333333333,0.6610169491525424,0.6610169491525424,1.1135807845049814,0
04ELJhAC,41,10,11.95,11.95,0.019916666666666666,1705.5019463163592,14,0.4375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,1.0,0,0,0,0,0,5471.0,0.2948717948717949,1.0,0.019916666666666666,0.9800833333333333,0.28899893162393164,0.9800833333333333,0.6779661016949152,0.6779661016949152,1.1108105214682746,0
04ELJhAC,42,10,20.51,1.4399999999999995,0.034183333333333336,248.58175493967553,14,0.4375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.0739915000348359,0,0,0,0,1,6039.0,0.2948717948717949,0.8318160458633291,0.034183333333333336,0.9658166666666667,0.28479209401709404,0.8033818006955676,0.6949152542372882,0.6949152542372882,1.086124354291288,0
04ELJhAC,43,10,24.35,6.16,0.04058333333333333,282.15401625511004,13,0.40625,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.3165191945934648,0,0,0,0,0,6096.0,0.2948717948717949,0.9441571372876457,0.04058333333333333,0.9594166666666667,0.28290491452991456,0.9058400934660554,0.711864406779661,0.711864406779661,1.0682265598797107,0
04ELJhAC,44,10,28.91,5.44,0.048183333333333335,1851.1161197744696,13,0.40625,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.27952344457604683,0,0,0,0,0,2141.0,0.2948717948717949,1.0,0.048183333333333335,0.9518166666666666,0.2806638888888889,0.9518166666666666,0.7288135593220338,0.7288135593220338,1.0503014890773548,0
04ELJhAC,45,10,20.51,18.4,0.034183333333333336,1865.3484035607576,13,0.40625,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.94544694488957,0,0,0,0,0,2137.0,0.2948717948717949,1.0,0.034183333333333336,0.9658166666666667,0.28479209401709404,0.9658166666666667,0.7457627118644068,0.7457627118644068,1.0479713880954038,0
04ELJhAC,46,10,12.35,12.35,0.020583333333333332,3290.470306153436,13,0.40625,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,1.0,1,0,0,0,0,9119.14074074074,0.2948717948717949,1.0,0.020583333333333332,0.9794166666666667,0.2888023504273505,0.9794166666666667,0.7627118644067796,0.7627118644067796,1.0469285318324604,0
04ELJhAC,47,10,19.87,2.4800000000000004,0.03311666666666667,3641.741270908349,13,0.40625,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.12742980561555078,0,0,0,0,0,820.0,0.2948717948717949,1.0,0.03311666666666667,0.9668833333333333,0.28510662393162395,0.9668833333333333,0.7796610169491526,0.7796610169491526,1.0273647291469943,0
04ELJhAC,48,10,24.67,5.2,0.04111666666666667,3916.894418358296,13,0.40625,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.26719152790357414,1,0,0,0,0,9138.8,0.2948717948717949,1.0,0.04111666666666667,0.9588833333333333,0.2827476495726496,0.9588833333333333,0.7966101694915254,0.7966101694915254,1.0115277874544228,0
04ELJhAC,49,10,26.11,8.56,0.04351666666666667,3916.894418358296,13,0.40625,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.4398383613181913,1,0,0,0,0,9119.14074074074,0.2948717948717949,1.0,0.04351666666666667,0.9564833333333334,0.2820399572649573,0.9564833333333334,0.8135593220338984,0.8135593220338984,0.9998606563087856,0
04ELJhAC,50,10,26.91,9.2,0.04485,3410.6071836418782,12,0.375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,0.472723472444785,0,0,0,0,0,1894.0,0.2948717948717949,1.0,0.04485,0.9551499999999999,0.28164679487179484,0.9551499999999999,0.8305084745762712,0.8305084745762712,0.9893179126315056,0
04ELJhAC,51,10,34.91,2.0,0.05818333333333333,3513.498232285037,12,0.375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,0.10276597227060544,0,0,0,0,0,1457.0,0.2948717948717949,1.0,0.05818333333333333,0.9418166666666666,0.27771517094017095,0.9418166666666666,0.847457627118644,0.847457627118644,0.9719345412518801,0
04ELJhAC,52,10,43.47,1.4399999999999995,0.07245,274.48254346436437,12,0.375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,0.0739915000348359,0,0,0,0,1,2118.0,0.2948717948717949,0.9184864915707275,0.07245,0.92755,0.27350833333333335,0.8519421452564283,0.864406779661017,0.864406779661017,0.95466640584386,0
04ELJhAC,53,10,40.99,12.48,0.06831666666666666,298.4631002690654,12,0.375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,0.641259666968578,0,0,0,0,0,1517.0,0.2948717948717949,0.9987313669185909,0.06831666666666666,0.9316833333333333,0.2747271367521367,0.9305013690352691,0.8813559322033898,0.8813559322033898,0.9487530711480999,0
04ELJhAC,54,10,47.15,3.84,0.07858333333333332,247.23403217734136,12,0.375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,0.19731066675956244,0,0,0,0,1,1882.0,0.2948717948717949,0.8273062321026335,0.07858333333333332,0.9214166666666667,0.2716997863247863,0.7622937506965682,0.8983050847457628,0.8983050847457628,0.9348374710668308,0
04ELJhAC,55,10,52.91,4.24,0.08818333333333332,151.05186747162932,12,0.375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,0.21786386121368356,0,0,0,0,0,1752.0,0.2948717948717949,0.5054569155769849,0.08818333333333332,0.9118166666666667,0.2688690170940171,0.46088403990502114,0.9152542372881356,0.9152542372881356,0.921801587251319,0
04ELJhAC,56,10,61.23,1.6799999999999997,0.10204999999999999,2037.1589694146764,12,0.375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,19.46169491525424,0.08632341670730856,0,0,0,0,1,6137.0,0.2948717948717949,1.0,0.10204999999999999,0.89795,0.2647801282051282,0.89795,0.9322033898305084,0.9322033898305084,0.9068823342058902,0
04ELJhAC,57,10,28.83,28.83,0.048049999999999995,2885.668503908941,12,0.375,1,2,0,10,23,1,0,1,0,0,0,0,1,1,0,0,0,0,0,19.46169491525424,1.0,1,0,0,0,0,8745.614814814815,0.2948717948717949,1.0,0.048049999999999995,0.95195,0.2807032051282051,0.95195,0.9491525423728814,0.9491525423728814,0.908515977465436,0
04ELJhAC,58,10,21.79,17.04,0.036316666666666664,1234.372640790809,12,0.375,1,2,0,10,23,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.46169491525424,0.8755660837455583,1,0,0,0,0,8765.274074074074,0.2948717948717949,1.0,0.036316666666666664,0.9636833333333333,0.2841630341880342,0.9636833333333333,0.9661016949152542,0.9661016949152542,0.907947875849576,0
04ELJhAC,59,10,31.79,0.0,0.052983333333333334,16.051717968756517,10,0.3125,1,2,0,9,22,1,0,1,0,0,0,0,1,1,0,0,0,0,0,19.46169491525424,0.0,1,0,0,0,0,8784.933333333332,0.28205128205128205,0.05371301917682818,0.052983333333333334,0.9470166666666666,0.26710726495726494,0.05086712437744256,0.9830508474576272,0.9830508474576272,0.8925589288012782,0
3gJzIPyt,3,5,601.55,5.88,1.0025833333333332,3.299831645537222,32,1.0,8,4,2,16,78,0,0,0,0,1,1,0,0,1,0,0,0,0,0,14.243018867924528,0.4128338278931751,0,0,0,0,0,24.0,1.0,0.011042052994080603,1.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.1984597993500071,0
3gJzIPyt,4,5,589.07,17.48,0.9817833333333335,4.9216076867444665,32,1.0,8,4,2,16,78,0,0,0,0,1,1,0,0,1,0,0,0,0,0,14.243018867924528,1.2272679101314117,0,0,0,0,0,29.0,1.0,0.01646891682083356,0.9817833333333335,0.018216666666666548,0.018216666666666548,0.00030000876808618276,0.05660377358490566,0.0,0.45566182704535824,0
3gJzIPyt,5,5,592.43,1.6400000000000001,0.9873833333333333,8.956685895029603,32,1.0,8,4,2,16,78,0,0,0,0,1,1,0,0,0,1,0,0,0,0,14.243018867924528,0.11514412886816448,0,0,0,0,0,45.0,1.0,0.029971286698218778,0.9873833333333333,0.01261666666666672,0.01261666666666672,0.00037813773384252853,0.07547169811320754,0.0,0.3875582874099195,0
3gJzIPyt,6,5,594.99,2.44,0.99165,6.79869268479038,32,1.0,8,4,2,16,78,0,0,0,0,1,1,0,0,0,0,1,0,0,0,14.243018867924528,0.1713119966087325,0,0,0,0,0,33.0,1.0,0.02275010757517044,0.99165,0.008349999999999969,0.008349999999999969,0.00018996339825267245,0.09433962264150944,0.0,0.351517238943055,0
3gJzIPyt,7,5,598.27,1.7200000000000002,0.9971166666666667,5.2493385826745405,31,0.96875,8,4,2,15,77,0,0,0,0,1,1,0,0,1,0,0,0,0,0,14.243018867924528,0.1207609156422213,0,0,0,0,0,35.0,0.9871794871794872,0.017565585472263574,0.9971166666666667,0.002883333333333349,0.0028463675213675366,5.0647438111693576e-05,0.11320754716981132,0.0,0.31855204990007874,0
3gJzIPyt,8,5,602.75,0.5199999999999996,1.0045833333333334,3.39934634239519,30,0.9375,7,4,2,15,74,0,0,0,0,1,1,0,0,1,0,0,0,0,0,14.243018867924528,0.036509114031369194,0,0,0,0,0,41.0,0.9487179487179487,0.01137505378758522,1.0,0.0,0.0,0.0,0.1320754716981132,0.0,0.2832966829164901,0
3gJzIPyt,9,5,582.83,24.92,0.9713833333333334,4.898979485566356,30,0.9375,7,4,2,15,74,0,0,0,0,1,1,0,0,1,0,0,0,0,0,14.243018867924528,1.7496290801186944,0,0,0,0,0,47.0,0.9487179487179487,0.016393197261956267,0.9713833333333334,0.028616666666666624,0.027149145299145257,0.0004691186616463145,0.1509433962264151,0.0,0.4462225048278461,0
3gJzIPyt,10,5,569.23,18.6,0.9487166666666667,12.498888839501783,29,0.90625,6,4,2,15,71,0,0,0,0,1,1,0,0,0,1,0,0,0,0,14.243018867924528,1.305902924968207,0,0,0,0,0,70.0,0.9102564102564102,0.041824374016036295,0.9487166666666667,0.05128333333333335,0.046680982905982916,0.0021448933141223953,0.16981132075471697,0.0,0.5321905468418822,0
3gJzIPyt,11,5,573.79,0.4400000000000004,0.9563166666666666,10.208928554075703,28,0.875,5,4,2,15,68,0,0,0,0,1,1,0,0,0,0,1,0,0,0,14.243018867924528,0.03089232725731245,0,0,0,0,0,67.0,0.8717948717948718,0.03416160041356722,0.9563166666666666,0.04368333333333341,0.03808290598290605,0.0014922925780659973,0.18867924528301888,0.0,0.48661798142510315,0
3gJzIPyt,12,5,577.71,1.08,0.9628500000000001,3.2998316455372216,28,0.875,5,4,2,15,68,1,0,0,0,1,1,0,0,0,1,0,0,0,0,14.243018867924528,0.07582662144976686,0,0,0,0,0,62.0,0.8717948717948718,0.011042052994080601,0.9628500000000001,0.037149999999999905,0.0323871794871794,0.00041021226873009327,0.20754716981132076,0.0,0.45238536809382507,0
3gJzIPyt,13,5,565.87,16.84,0.9431166666666667,17.795130420052185,28,0.875,5,4,2,15,68,1,0,0,0,1,1,0,0,1,0,0,0,0,0,14.243018867924528,1.1823336159389572,0,0,0,0,0,27.0,0.8717948717948718,0.059546908521995866,0.9431166666666667,0.056883333333333286,0.049590598290598246,0.0033872266464261952,0.22641509433962265,0.0,0.5085352333126815,0
3gJzIPyt,14,5,556.99,13.88,0.9283166666666667,14.719601443879744,26,0.8125,4,4,2,14,64,1,0,0,0,1,0,1,0,0,0,1,0,0,0,14.243018867924528,0.9745125052988555,0,0,0,0,0,37.0,0.8205128205128205,0.049255427747316,0.9283166666666667,0.07168333333333332,0.05881709401709401,0.0035307932456867678,0.24528301886792453,0.0,0.5418193241688367,0
