game_id,move_number,color,username,move,time_control,increment_sec,time_left_cs,time_left_sec,time_spent_cs,time_spent_sec,time_left_ratio,time_spent_ratio,eval,mate,best_move,variation,judgment,eval_volatility,pieces_remaining,material_density,num_minor_pieces,num_rooks,num_queens,num_pawns,complexity_material_score,white_castled_king,white_castled_queen,black_castled_king,black_castled_queen,queen_present,is_opening,is_middlegame,is_endgame,is_pawn_move,is_knight_move,is_bishop_move,is_rook_move,is_queen_move,is_king_move
WGJV5DRb,28,black,Mein_letzter_Flug,Bf8,10+5,5,34475.0,344.75,-72.0,-0.72,0.5745833333333333,-0.0012,4.0,,c5e4,Nxe4 Qxe4 Rxd2+ Kh3 Bf8 e6 fxe6 Ra1 Kh8 Ra4 Qd7 fxg7+,Blunder,166.84190787156032,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,29,white,stevenhan,Bh7+,10+5,5,14355.0,143.55,1504.0,15.04,0.23925000000000002,0.025066666666666664,-130.0,,f6g7,fxg7 Bxg7 Bxb4 Nxe4 Qxe4 Qxe5 Qxe5 Bxe5 Re2 Rb8 Be7 Re8,Mistake,161.34917277617373,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,29,black,Mein_letzter_Flug,Kh8,10+5,5,34763.0,347.63,-288.0,-2.88,0.5793833333333334,-0.0048,-145.0,,,,,66.98424358674873,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,0,0,0,0,0,1
WGJV5DRb,30,white,stevenhan,Bc1,10+5,5,11531.0,115.31,2824.0,28.24,0.19218333333333334,0.047066666666666666,-272.0,,h7f5,Bf5 Ra8 fxg7+ Bxg7 Bc1 c3 Qe2 Ra2 Rd1 Rxd1 Rxd1 Bxe5,Mistake,63.69894469734609,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,30,black,Mein_letzter_Flug,Qxe5,10+5,5,34379.0,343.79,384.0,3.84,0.5729833333333334,0.0063999999999999994,-195.0,,b4b3,b3 Qf5 Nd3 e4 c3 fxg7+ Bxg7 Qh5 Nxe1+ Kh3 Qxe5 Bf5,Inaccuracy,52.23664103545199,22,0.6875,4,4,1,11,52,1,0,1,0,1,0,1,0,0,0,0,0,1,0
WGJV5DRb,31,white,stevenhan,Bf5,10+5,5,10003.0,100.03,1528.0,15.28,0.16671666666666668,0.025466666666666665,-192.0,,,,,37.025516726831626,22,0.6875,4,4,1,11,52,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,31,black,Mein_letzter_Flug,Ne6,10+5,5,32827.0,328.27,1552.0,15.52,0.5471166666666666,0.025866666666666666,-25.0,,c5d3,Nd3 Rd1 b3 Qe2 Rc5 fxg7+ Bxg7 Qf3 Rg8 Kh3 Nxb2 Rd7,Mistake,79.44110327084391,22,0.6875,4,4,1,11,52,1,0,1,0,1,0,1,0,0,1,0,0,0,0
WGJV5DRb,32,white,stevenhan,fxg7+,10+5,5,9507.0,95.07,496.0,4.96,0.15844999999999998,0.008266666666666667,-21.0,,,,,79.68409851128114,21,0.65625,4,4,1,10,51,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,32,black,Mein_letzter_Flug,Bxg7,10+5,5,33219.0,332.19,-392.0,-3.92,0.55365,-0.006533333333333333,-32.0,,,,,4.546060565661952,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,33,white,stevenhan,Bg4,10+5,5,7699.0,76.99,1808.0,18.08,0.12831666666666666,0.03013333333333333,-73.0,,,,,22.37558192911788,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,33,black,Mein_letzter_Flug,b3,10+5,5,31995.0,319.95,1224.0,12.24,0.53325,0.0204,-82.0,,,,,21.761331658599286,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,34,white,stevenhan,Qb1,10+5,5,7051.0,70.51,648.0,6.48,0.11751666666666667,0.0108,-224.0,,c2e2,Qe2 Rc7,Mistake,69.15843324489711,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,0,0,1,0
WGJV5DRb,34,black,Mein_letzter_Flug,Rc7,10+5,5,30731.0,307.31,1264.0,12.64,0.5121833333333333,0.021066666666666668,-50.0,,d8d3,Rd3 Bf5 Qd5+ e4 Qe5 Bf4 Qxb2+ Qxb2 Bxb2 e5 Rd5 Re2,Mistake,75.61892767172927,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,0,1,0,0
WGJV5DRb,35,white,stevenhan,Rf5,10+5,5,6515.0,65.15,536.0,5.36,0.10858333333333334,0.008933333333333333,-55.0,,,,,80.87164040763747,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,0,1,0,0
WGJV5DRb,35,black,Mein_letzter_Flug,Qd6,10+5,5,29387.0,293.87,1344.0,13.44,0.48978333333333335,0.0224,-74.0,,,,,10.338708279513883,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,0,0,1,0
WGJV5DRb,36,white,stevenhan,Ref1,10+5,5,6907.0,69.07,-392.0,-3.92,0.11511666666666666,-0.006533333333333333,-217.0,,e1d1,Rd1,Mistake,72.30644661592922,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,0,1,0,0
WGJV5DRb,36,black,Mein_letzter_Flug,Rdd7,10+5,5,27299.0,272.99,2088.0,20.88,0.45498333333333335,0.0348,-73.0,,e6c5,Nc5 e4 Qc6 Bf3 Nd3 Bd2 Re7 e5 Qe6 Bh5 Bxe5 Bxf7,Mistake,67.64778061564343,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,0,1,0,0
WGJV5DRb,37,white,stevenhan,Bh5,10+5,5,6475.0,64.75,432.0,4.32,0.10791666666666666,0.007200000000000001,-191.0,,b1e4,Qe4,Mistake,62.659574066715635,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,37,black,Mein_letzter_Flug,Qc6+,10+5,5,26435.0,264.35,864.0,8.64,0.4405833333333334,0.014400000000000001,-57.0,,e6c5,Nc5,Mistake,59.75505557412416,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,0,0,1,0
WGJV5DRb,38,white,stevenhan,Kh2,10+5,5,6875.0,68.75,-400.0,-4.0,0.11458333333333333,-0.006666666666666667,-120.0,,h5f3,Bf3,Inaccuracy,54.73775865179558,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,0,0,0,0,0,1
WGJV5DRb,38,black,Mein_letzter_Flug,c3,10+5,5,25475.0,254.75,960.0,9.6,0.4245833333333333,0.016,5.0,,h8g8,Kg8,Mistake,51.03158063613376,20,0.625,3,4,1,10,48,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,39,white,stevenhan,bxc3,10+5,5,6947.0,69.47,-72.0,-0.72,0.11578333333333334,-0.0012,2.0,,,,,58.23133940490197,19,0.59375,3,4,1,9,47,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,39,black,Mein_letzter_Flug,Qxc3,10+5,5,25787.0,257.87,-312.0,-3.12,0.42978333333333335,-0.0052,1.0,,,,,1.699673171197595,18,0.5625,3,4,0,9,38,1,0,1,0,0,0,0,1,0,0,0,0,1,0
WGJV5DRb,40,white,stevenhan,Bxf7,10+5,5,6875.0,68.75,72.0,0.72,0.11458333333333333,0.0012,-6.0,,,,,3.559026084010437,17,0.53125,2,4,0,9,35,1,0,1,0,0,0,0,1,0,0,1,0,0,0
WGJV5DRb,40,black,Mein_letzter_Flug,Qc2+,10+5,5,25243.0,252.43,544.0,5.44,0.4207166666666667,0.009066666666666667,20.0,,,,,10.98483803552272,17,0.53125,2,4,0,9,35,1,0,1,0,0,0,0,1,0,0,0,0,1,0
WGJV5DRb,41,white,stevenhan,Qxc2,10+5,5,7283.0,72.83,-408.0,-4.08,0.12138333333333333,-0.0068000000000000005,29.0,,,,,14.839886193034712,16,0.5,2,4,0,9,35,1,0,1,0,0,0,0,1,0,0,0,0,1,0
WGJV5DRb,41,black,Mein_letzter_Flug,Rxc2+,10+5,5,25627.0,256.27,-384.0,-3.84,0.42711666666666664,-0.0063999999999999994,44.0,,,,,9.899494936611665,15,0.46875,2,3,0,9,30,1,0,1,0,0,0,0,1,0,0,0,1,0,0
WGJV5DRb,42,white,stevenhan,R5f2,10+5,5,6219.0,62.19,1064.0,10.64,0.10364999999999999,0.017733333333333334,-408.0,,h2h3,Kh3,Blunder,209.62877241023529,15,0.46875,2,3,0,9,30,1,0,1,0,0,0,0,1,0,0,0,1,0,0
WGJV5DRb,42,black,Mein_letzter_Flug,Rxf2+,10+5,5,24099.0,240.99,1528.0,15.28,0.40165,0.025466666666666665,0.0,,d7f7,Rxf7 Rxc2 Rxf1 Rc6 Rd1 Kg2 Nf8 Rc8 Kh7 g4 Ng6 Kh3,Blunder,203.49829374114066,14,0.4375,2,2,0,9,25,1,0,1,0,0,0,0,1,0,0,0,1,0,0
WGJV5DRb,43,white,stevenhan,Rxf2,10+5,5,6715.0,67.15,-496.0,-4.96,0.11191666666666668,-0.008266666666666667,-8.0,,,,,190.47542856990478,13,0.40625,2,1,0,9,20,1,0,1,0,0,0,0,1,0,0,0,1,0,0
WGJV5DRb,43,black,Mein_letzter_Flug,b2,10+5,5,24291.0,242.91,-192.0,-1.92,0.40485,-0.0031999999999999997,90.0,,e6c5,Nc5 Bg6 Nd3 Rd2 Ne5 Be4 Rxd2+ Bxd2 Nc4 Bb4 Nxe3 Kh3,Inaccuracy,44.43222054120436,13,0.40625,2,1,0,9,20,1,0,1,0,0,0,0,1,1,0,0,0,0,0
WGJV5DRb,44,white,stevenhan,Bxb2,10+5,5,6387.0,63.87,328.0,3.28,0.10644999999999999,0.0054666666666666665,86.0,,,,,45.28428719397785,12,0.375,1,1,0,9,17,1,0,1,0,0,0,0,1,0,0,1,0,0,0
WGJV5DRb,44,black,Mein_letzter_Flug,Bxb2,10+5,5,21731.0,217.31,2560.0,25.6,0.36218333333333336,0.04266666666666667,142.0,,,,,25.508168626278653,11,0.34375,0,1,0,9,14,1,0,1,0,0,0,0,1,0,0,1,0,0,0
WGJV5DRb,45,white,stevenhan,Bxe6,10+5,5,6675.0,66.75,-288.0,-2.88,0.11125,-0.0048,136.0,,,,,25.104227178350307,10,0.3125,0,1,0,9,14,1,0,1,0,0,0,0,1,0,0,1,0,0,0
WGJV5DRb,45,black,Mein_letzter_Flug,Rb7,10+5,5,21019.0,210.19,712.0,7.12,0.35031666666666667,0.011866666666666666,146.0,,,,,4.109609335312651,10,0.3125,0,1,0,9,14,1,0,1,0,0,0,0,1,0,0,0,1,0,0
WGJV5DRb,46,white,stevenhan,Bd5,10+5,5,6947.0,69.47,-272.0,-2.72,0.11578333333333334,-0.004533333333333334,158.0,,,,,8.993825042154693,10,0.3125,0,1,0,9,14,1,0,1,0,0,0,0,1,0,0,1,0,0,0
WGJV5DRb,46,black,Mein_letzter_Flug,Rb6,10+5,5,21075.0,210.75,-56.0,-0.56,0.35125,-0.0009333333333333334,168.0,,,,,8.993825042154693,10,0.3125,0,1,0,9,14,1,0,1,0,0,0,0,1,0,0,0,1,0,0
WGJV5DRb,47,white,stevenhan,e4,10+5,5,7323.0,73.23,-376.0,-3.76,0.12205,-0.006266666666666666,164.0,,,,,4.109609335312651,10,0.3125,0,1,0,9,14,1,0,1,0,0,0,0,1,1,0,0,0,0,0
WGJV5DRb,47,black,Mein_letzter_Flug,Be5,10+5,5,21195.0,211.95,-120.0,-1.2,0.35325,-0.002,213.0,,,,,22.21611027060218,10,0.3125,0,1,0,9,14,1,0,1,0,0,0,0,1,0,0,1,0,0,0
